stat,sample,category,side,bucket,clusters,events,losing,contracts,rows,mean_c,se_c,t
C,all,Entertainment,long_yes,-1,236,1140,130.0,1778167.4200000002,25518.0,0.4087566793907416,2.1788220187402016,0.18760443756993306
C,all,Financials,long_yes,-1,184,1015,87.0,604489.5399999998,11985.0,5.809162491084626,3.5149693593135836,1.6526922135728266
C,all,Commodities,long_yes,-1,163,1673,80.0,6187341.769999996,84162.0,0.1225292770598003,0.9749106795016602,0.12568256727111957
C,all,Companies,long_yes,-1,4,6,3.0,111002.0,530.0,-11.572277976973387,2.0583958225843384,-5.621988662241
C,all,Politics,short_yes,-1,226,583,108.0,3238803.5500000007,17765.0,3.099663955845667,2.2855539267700813,1.356198127526169
C,all,Science and Technology,long_yes,-1,97,208,49.0,359684.1200000001,3598.0,-1.7050225313450018,4.519522058822485,-0.3772572650722338
C,all,Social,short_yes,-1,8,8,4.0,5742.0,68.0,2.323058167885753,1.382963940996927,1.679767706894185
C,all,Social,long_yes,-1,7,7,4.0,1919.0,40.0,8.340802501302761,7.105281705617708,1.1738876580654363
C,all,Transportation,long_yes,-1,1,1,1.0,6.0,1.0,-7.000000000000001,,
B,all,Crypto,long_yes,-1,266,20282,144.0,74134463.93000047,9734537.0,-0.060704278879657646,0.7844357177571442,-0.07738591895486746
B,all,Crypto,short_yes,-1,267,21218,141.0,80494650.46000041,10516756.0,-1.3164782266078507,0.8149758316172167,-1.6153586100773882
B,all,Commodities,short_yes,-1,169,2047,83.0,4245203.21,559614.0,-0.06667833552306966,1.0086582284628138,-0.06610597488971745
B,all,Climate and Weather,short_yes,-1,280,9372,169.0,3607136.280000002,542695.0,-0.6760627463734191,0.20505410683646735,-3.2969968600169794
B,all,Climate and Weather,long_yes,-1,280,9223,203.0,3144760.0800000043,510880.0,-1.6515721033955606,0.197919825650678,-8.344652174009749
B,all,Financials,long_yes,-1,213,1979,114.0,621962.5,91934.0,-1.2751600940571177,1.4079001570712542,-0.9057177013956265
B,all,Financials,short_yes,-1,218,2156,103.0,728172.2800000003,101016.0,-1.2003991418074842,1.3989015406763632,-0.8581012365081078
B,all,Politics,short_yes,-1,248,745,133.0,509055.7499999999,60560.0,1.9943144439484344,4.1275584013709805,0.4831704969422158
B,all,Entertainment,short_yes,-1,263,2187,113.0,982892.4999999999,119381.0,3.4139364783025634,1.1471238259538272,2.9760836633864645
B,all,Elections,long_yes,-1,87,128,50.0,78005.28000000003,9506.0,4.186800175577851,6.030797744856482,0.6942365426114097
B,all,Companies,long_yes,-1,5,16,4.0,15024.5,1766.0,-8.340277546673779,4.579833643114241,-1.8210874447837966
B,all,Health,short_yes,-1,8,12,1.0,1409.0,151.0,6.4180269694819,2.333702693272048,2.7501476464781747
B,all,Health,long_yes,-1,6,10,6.0,687.0,92.0,-10.059679767103349,6.156786717810745,-1.6339172084688374
B,all,Transportation,long_yes,-1,1,1,1.0,12.0,2.0,-8.666666666666668,,
A,all,Transportation,short_yes,-1,1,1,0.0,394.0,17.0,18.878172588832488,,
C,all,World,short_yes,-1,1,6,0.0,3383.0,29.0,6.169967484481229,,
C,all,Transportation,short_yes,-1,1,1,0.0,99.0,9.0,19.313131313131315,,
